2.522861399938847171e-02,2.089201800026785349e-02,1.574082799925236031e-02,1.561239500006195158e-02,1.956401900042692432e-02,1.578798100035783136e-02,1.540478500010067364e-02,1.640311699975427473e-02,1.960182299990265165e-02,1.594972499970026547e-02
7.075437600087752799e-02,6.989422300011938205e-02,6.719127199994545663e-02,6.600723199971980648e-02,6.296972600011940813e-02,6.870780999997805338e-02,7.014842500029772054e-02,6.798377500035712728e-02,6.858807000025990419e-02,6.884194299982482335e-02
1.436154679995524930e-01,1.461598979994960246e-01,1.447220270001707831e-01,1.423354739999922458e-01,1.473448719998486922e-01,1.429468149999593152e-01,1.412999989997842931e-01,1.387392959995850106e-01,1.429459139999380568e-01,1.435289860000921180e-01
2.392039469996234402e-01,2.397130099998321384e-01,2.238329889996748534e-01,2.152192960002139444e-01,2.162823609996848973e-01,2.131132630001957295e-01,2.069111380005779210e-01,2.003530840001985780e-01,1.994703099999242113e-01,2.049115660001916694e-01
2.901024009997854591e-01,2.885426330003610929e-01,2.853301559998726589e-01,2.843235460004507331e-01,2.670454449998942437e-01,2.689220289994409541e-01,2.712832120005259640e-01,2.692247850000057952e-01,2.783006060008119675e-01,2.728122810003696941e-01
3.859532149999722606e-01,3.693177869999999530e-01,3.896478349997778423e-01,3.878935529992304510e-01,3.833981870002389769e-01,3.876839009999457630e-01,3.881122279999544844e-01,3.910232649996032706e-01,3.879400719997647684e-01,3.824689240000225254e-01
5.619071290002466412e-01,5.539782070000001113e-01,5.505921359999774722e-01,5.491561369999544695e-01,5.571565360005479306e-01,5.523449410002285731e-01,5.486677330000020447e-01,5.563823499996942701e-01,5.454647699998531607e-01,5.526222159996905248e-01
7.207263670006796019e-01,7.152769680005803821e-01,7.134742169992023264e-01,7.154359099995417637e-01,7.075463249993845238e-01,7.150911490007274551e-01,7.157991260000926559e-01,7.147760440002457472e-01,7.144848899997668923e-01,7.140793650005434756e-01
9.039646440005526529e-01,8.904218439993201173e-01,8.869581999997535604e-01,8.863867420004680753e-01,8.711326050006391597e-01,8.986712179994356120e-01,8.800156079996668268e-01,8.926696159996936331e-01,8.885857830000531976e-01,8.844629349996466772e-01
1.041683333000037237e+00,1.038380502000109118e+00,1.022729483000148321e+00,1.055420931999833556e+00,1.055797465000068769e+00,1.043473794000419730e+00,1.026640509000571910e+00,1.039126117000705563e+00,1.027452733000245644e+00,1.027213912000661367e+00
1.240844437999840011e+00,1.243315181999605556e+00,1.246081108999533171e+00,1.232221330000356829e+00,1.255838832999870647e+00,1.232957281999915722e+00,1.306221490000098129e+00,1.245971422999900824e+00,1.241873465000026044e+00,1.312795077999908244e+00
1.529609742000502592e+00,1.524337638999895717e+00,1.572070936999807600e+00,1.516576844000155688e+00,1.510565002000475943e+00,1.532573069000136456e+00,1.528145964999566786e+00,1.505438547999801813e+00,1.514372808000189252e+00,1.518817387000126473e+00
1.742921370000658499e+00,1.775260528999751841e+00,1.697917653000331484e+00,1.718409119999705581e+00,1.717086171000119066e+00,1.718238931999621855e+00,1.722392052000031981e+00,1.713081027000043832e+00,1.728601123999396805e+00,1.685980703999121033e+00
1.953126618000169401e+00,1.959970336999504070e+00,1.960362748999614269e+00,1.967412183000305959e+00,1.966922469999190071e+00,1.977659066999876813e+00,1.973629150999840931e+00,1.965297488000032899e+00,1.969298218999938399e+00,1.976453994000621606e+00
2.244577059999755875e+00,2.246649775999685517e+00,2.247348457999578386e+00,2.235018586999103718e+00,2.235844746999646304e+00,2.247435696000138705e+00,2.256266966999646684e+00,2.244867766000425036e+00,2.236566391999986081e+00,2.298625948999870161e+00
2.569166570000561478e+00,2.562335423999684281e+00,2.564765285000248696e+00,2.561080039999978908e+00,2.570492382999873371e+00,2.556776073000037286e+00,2.551265651999528927e+00,2.570748025000284542e+00,2.556548578999354504e+00,2.560076020000451535e+00
2.978531766000742209e+00,2.983295414000167511e+00,2.970106439999653958e+00,2.967853355999977794e+00,2.965892517000611406e+00,2.970698961999914900e+00,2.967535730000236072e+00,2.948973255000055360e+00,2.966091306999260269e+00,2.962420316000134335e+00
3.294227729000340332e+00,3.279304790999958641e+00,3.292744798999592604e+00,3.315075415000137582e+00,3.282882852000511775e+00,3.320463590000144904e+00,3.304763502000241715e+00,3.289953268999852298e+00,3.306602166999255132e+00,3.310343187000398757e+00
3.669289681999543973e+00,3.668282311000439222e+00,3.672525515999950585e+00,3.669344828999783203e+00,3.668312995999258419e+00,3.654182528000092134e+00,3.654516014999899198e+00,3.669737777000591450e+00,3.677379658999598178e+00,3.651380094000160170e+00
4.042170507999799156e+00,4.036610132000532758e+00,4.040643294999426871e+00,4.042892211000435054e+00,4.038009467999472690e+00,4.050776048999978229e+00,4.050846451999859710e+00,4.051932013000623556e+00,4.050302526999985275e+00,4.052874282000630046e+00
